ID;E;H
859;=CT+CH.EP20-T1:X4;=PA2+30-A8:DATA_IN
860;=CT+CH.EP20-T1:X5;=PA3+30-A8:DATA_IN
861;=CT+CH.EP20-T1:X6;=IF.M4+ST.IF2-X48
862;=CT+CH.EP20-T1:X7;=CT+CH.EP1-T1:DATA_IN
863;=CT+CH.EP20-T1:X8;=CT.PN+CH.A21-X50
864;=CT+CH.EP30-T1:24V_IN;=CT+CH.EP10-K2:24V_OUT
865;=CT+CH.EP30-T1:24V_OUT;=CT+CH.EP20-T1:24V_IN
866;=CT+CH.EP30-T1:X1;=CT+CH.EP10-K3:DATA_OUT
867;=CT+CH.EP30-T1:X2;=PA1+30-A8:DATA_IN
868;=CT+CH.EP30-T1:X3;=PA0+30-A8:DATA_IN
869;=CT+CH.EP30-T1:X4;=PA0+30-X7
870;=CT+CH.EP30-T1:X5;=PA1+30-X1
871;=CT+CH.EP30-T1:X8;=CT+CH.EP20-T1:X1
872;=IL+SFR.PA0-H9;=CT+CH.EP10-K3:OUT0/OUT1
873;=MD.GA+CH.RP10-B1;=CT+CH.EP2-K1:IN0
874;=MD.GA+SFR.PA0-B251;=CT+CH.EP10-K2:IN3
875;=MD.GA+SFR.PA0-Y2;=CT+CH.EP10-K1:OUT3
876;=MD.GA+SFR.PA1-B10;=CT+CH.EP10-K2:IN0
877;=MD.GA+SFR.PA1-B11;=CT+CH.EP10-K2:IN1
878;=MD.GA+SFR.PA1-Y10;=CT+CH.EP10-K1:OUT1
879;=MD.GA+SFR.PA1-Y11;=CT+CH.EP10-K1:OUT2
880;=MD.PN+CH.RP02-B490;=CT+CH.EP2-K1:IN2
881;=MD.PN+SFR.PA0-B250;=CT+CH.EP10-K2:IN2
882;=MD.PN+SFR.PA0-Y6;=CT+CH.EP10-K1:OUT4
883;=MD.WT+SFR.PA0-B1:X1;=CT+CH.EP10-K1:IN1/IN2
884;=MD.WT+SFR.PA1-B2:X1;=CT+CH.EP10-K1:IN3/IN4
885;=MD.WT+SFR.PA2-B3:X1;=CT+CH.EP10-K1:IN5/IN6
886;=IL+CH.FR0-H1;=CT+CH.EP1-K13:IN0/IN1
887;=IL+CH.FR0-H2;=CT+CH.EP1-K13:IN2/IN3
888;=IL+CH.FR0-H3;=CT+CH.EP1-K13:IN4/IN5
889;=IL+CH.FR1-H10;=CT+CH.EP10-K3:OUT2/OUT3
890;=IL+CH.FR1-H7;=CT+CH.EP1-K14:IN4/IN5
891;=IL+CH.FR1-H8;=CT+CH.EP1-K14:IN6/IN7
892;=IL+CH.FR2-H11;=CT+CH.EP10-K3:OUT4/OUT5
893;=IL+CH.FR2-H4;=CT+CH.EP1-K13:IN6/IN7
894;=IL+CH.FR2-H5;=CT+CH.EP1-K14:IN0/IN1
895;=IL+CH.FR3-H6;=CT+CH.EP1-K14:IN2/IN3
896;=SY+CH.FR0-DS1;=CT+CH.EP1-K1:IN0/IN1
897;=SY+CH.FR0-DS10;=CT+CH.EP1-K5:IN6/IN7
898;=SY+CH.FR0-DS2;=CT+CH.EP1-K1:IN2/IN3
899;=SY+CH.FR0-DS3;=CT+CH.EP1-K1:IN4/IN5
900;=SY+CH.FR0-DS32.1;=CT+CH.EP1-K2:IN6/IN7
901;=SY+CH.FR0-DS32.2;=CT+CH.EP1-K3:IN0/IN1
902;=SY+CH.FR0-DS33.1;=CT+CH.EP1-K3:IN2/IN3
903;=SY+CH.FR0-DS33.2;=CT+CH.EP1-K3:IN4/IN5
904;=SY+CH.FR0-DS34.1;=CT+CH.EP1-K3:IN6/IN7
905;=SY+CH.FR0-DS34.2;=CT+CH.EP1-K4:IN0/IN1
906;=SY+CH.FR0-DS35.1;=CT+CH.EP1-K4:IN2/IN3
907;=SY+CH.FR0-DS35.2;=CT+CH.EP1-K4:IN4/IN5
908;=SY+CH.FR0-DS4;=CT+CH.EP1-K1:IN6/IN7
909;=SY+CH.FR0-DS5;=CT+CH.EP1-K2:IN0/IN1
910;=SY+CH.FR0-DS6.1;=CT+CH.EP1-K2:IN2/IN3
911;=SY+CH.FR0-DS6.2;=CT+CH.EP1-K2:IN4/IN5
912;=SY+CH.FR0-DS7;=CT+CH.EP1-K5:IN0/IN1
913;=SY+CH.FR0-DS8;=CT+CH.EP1-K5:IN2/IN3
914;=SY+CH.FR0-DS9;=CT+CH.EP1-K5:IN4/IN5
915;=SY+CH.FR0-PB1:X1;=SY.EMO+CH.EP2.1-K1:IN0/IN1
916;=SY+CH.FR0-PB2:X1;=SY.EMO+CH.EP2.1-K1:IN2/IN3
917;=SY+CH.FR0-PB3:X1;=SY.EMO+CH.EP2.1-K1:IN4/IN5
918;=SY+CH.FR1-DS24;=CT+CH.EP1-K10:IN0/IN1
919;=SY+CH.FR1-DS25;=CT+CH.EP1-K10:IN2/IN3
920;=SY+CH.FR1-DS26;=CT+CH.EP1-K10:IN4/IN5
921;=SY+CH.FR1-DS27;=CT+CH.EP1-K10:IN6/IN7
922;=SY+CH.FR1-DS28;=CT+CH.EP1-K11:IN0/IN1
923;=SY+CH.FR1-DS29;=CT+CH.EP1-K11:IN2/IN3
924;=SY+CH.FR1-DS30;=CT+CH.EP1-K11:IN4/IN5
925;=SY+CH.FR1-DS31;=CT+CH.EP1-K11:IN6/IN7
926;=SY+CH.FR1-PB8:X1;=SY.EMO+CH.EP2.1-K2:IN6/IN7
927;=SY+CH.FR1-PB9:X1;=SY.EMO+CH.EP2.1-K3:IN0/IN1
928;=SY+CH.FR2-DS11;=CT+CH.EP1-K6:IN0/IN1
929;=SY+CH.FR2-DS12;=CT+CH.EP1-K6:IN2/IN3
930;=SY+CH.FR2-DS13;=CT+CH.EP1-K6:IN4/IN5
931;=SY+CH.FR2-DS14;=CT+CH.EP1-K6:IN6/IN7
932;=SY+CH.FR2-DS15;=CT+CH.EP1-K7:IN0/IN1
933;=SY+CH.FR2-DS16;=CT+CH.EP1-K7:IN2/IN3
934;=SY+CH.FR2-DS17;=CT+CH.EP1-K7:IN4/IN5
935;=SY+CH.FR2-DS18;=CT+CH.EP1-K7:IN6/IN7
936;=SY+CH.FR2-PB4:X1;=SY.EMO+CH.EP2.1-K1:IN6/IN7
937;=SY+CH.FR2-PB5:X1;=SY.EMO+CH.EP2.1-K2:IN0/IN1
938;=SY+CH.FR3-DS19;=CT+CH.EP1-K8:IN0/IN1
939;=SY+CH.FR3-DS20;=CT+CH.EP1-K8:IN2/IN3
940;=SY+CH.FR3-DS21;=CT+CH.EP1-K8:IN4/IN5
941;=SY+CH.FR3-DS22;=CT+CH.EP1-K8:IN6/IN7
942;=SY+CH.FR3-DS23;=CT+CH.EP1-K9:IN0/IN1
943;=SY+CH.FR3-KS1.X1;=CT+CH.EP1-K9:IN2/IN3
944;=SY+CH.FR3-KS2.X2;=CT+CH.EP1-K9:IN4/IN5
945;=SY+CH.FR3-KS3.X3;=CT+CH.EP1-K9:IN6/IN7
946;=SY+CH.FR3-LT5.X5;=SY+CH.A1-X13
947;=SY+CH.FR3-PB6:X1;=SY.EMO+CH.EP2.1-K2:IN2/IN3
948;=SY+CH.FR3-PB7:X1;=SY.EMO+CH.EP2.1-K2:IN4/IN5
949;=SY+CH.RP01-LT1;=SY+CH.A1-X5
950;=SY+CH.RP02-B2;=SY+CH.A1-X2
951;=SY+CH.RP04-B4;=SY+CH.A1-X4
952;=SY+CH.RP07-B3;=SY+CH.A1-X3
953;=SY+CH.RP09-LT4;=SY+CH.A1-X8
954;=SY+CH.RP11-B1;=SY+CH.A1-X1
955;=UI+CH.FR1-A1;=CT+CH.B-X3
956;=UI+CH.FR1-A2;=CT+CH.B-X4
957;=PE+BTS.FR-X1;=PE+CH.RP10-PE_6
958;=PE+BTS.FR-X2;=PE+CH.D-X2
959;=PE+BTS.FR-X7;=PE+CH.A-X3
960;=PE+CH.DO01-X1;=PE+CH.FR0-X0.3
961;=PE+CH.DO02-X1;=PE+CH.FR0-X0.4
962;=PE+CH.DO03-X1;=PE+CH.FR0-X0.7
963;=PE+CH.DO04-X1;=PE+CH.FR0-X0.8
964;=PE+CH.DO05-X1;=PE+CH.FR0-X0.14
965;=PE+CH.DO06.1-X1;=PE+CH.FR0-X0.17
966;=PE+CH.DO06.2-X1;=PE+CH.FR0-X0.20
967;=PE+CH.DO07-X1;=PE+CH.FR0-X0.25
968;=PE+CH.DO08-X1;=PE+CH.FR0-X0.27
969;=PE+CH.DO09-X1;=PE+CH.FR0-X0.30
970;=PE+CH.DO10-X1;=PE+CH.FR0-X0.34
971;=PE+CH.DO11-X1;=PE+CH.FR2-X2.6
972;=PE+CH.DO12-X1;=PE+CH.FR2-X2.10
973;=PE+CH.DO13-X1;=PE+CH.FR2-X2.13
974;=PE+CH.DO13.1-X1;=PE+CH.FR2-X2.14
975;=PE+CH.DO14-X1;=PE+CH.FR2-X2.15
976;=PE+CH.DO15-X1;=PE+CH.FR2-X2.18
977;=PE+CH.DO16-X1;=PE+CH.FR2-X2.21
978;=PE+CH.DO16.1-X1;=PE+CH.FR2-X2.22
979;=PE+CH.DO17-X1;=PE+CH.FR2-X2.23
980;=PE+CH.DO18-X1;=PE+CH.FR2-X2.28
981;=PE+CH.DO19-X1;=PE+CH.FR3-X3.1
982;=PE+CH.DO20-X1;=PE+CH.FR3-X3.2
983;=PE+CH.DO21-X1;=PE+CH.FR3-X3.3
984;=PE+CH.DO22-X1;=PE+CH.FR3-X3.4
985;=PE+CH.DO23-X1;=PE+CH.FR3-X3.5
986;=PE+CH.DO24-X1;=PE+CH.FR1-X1.1
987;=PE+CH.DO25-X1;=PE+CH.FR1-X1.7
988;=PE+CH.DO26-X1;=PE+CH.FR1-X1.10
989;=PE+CH.DO26.1-X1;=PE+CH.FR1-X1.17
990;=PE+CH.DO27-X1;=PE+CH.FR1-X1.13
991;=PE+CH.DO28-X1;=PE+CH.FR1-X1.16
992;=PE+CH.DO29-X1;=PE+CH.FR1-X1.18
993;=PE+CH.DO29.1-X1;=PE+CH.FR1-X1.28
994;=PE+CH.DO30-X1;=PE+CH.FR1-X1.21
995;=PE+CH.DO31-X1;=PE+CH.FR1-X1.24
996;=PE+CH.DO32.1-X1;=PE+CH.FR0-X0.9
997;=PE+CH.DO32.2-X1;=PE+CH.FR0-X0.10
998;=PE+CH.DO33.1-X1;=PE+CH.FR0-X0.11
999;=PE+CH.DO33.2-X1;=PE+CH.FR0-X0.12
1000;=PE+CH.DO34.1-X1;=PE+CH.FR0-X0.37
1001;=PE+CH.DO34.2-X1;=PE+CH.FR0-X0.38
1002;=PE+CH.DO35.1-X1;=PE+CH.FR0-X0.39
1003;=PE+CH.DO35.2-X1;=PE+CH.FR0-X0.40
1004;=PE+CH.FR0-X0.1;=PE+CH.FR0-X0.2
1005;=PE+CH.FR0-X0.10;=PE+CH.DO32.2-X1
1006;=PE+CH.FR0-X0.11;=PE+CH.DO33.1-X1
1007;=PE+CH.FR0-X0.12;=PE+CH.DO33.2-X1
1008;=PE+CH.FR0-X0.13;=PE+SFR.PA0-X0.14
1009;=PE+CH.FR0-X0.14;=PE+CH.DO05-X1
1010;=PE+CH.FR0-X0.17;=PE+CH.DO06.1-X1
1011;=PE+CH.FR0-X0.18;=PE+CH.FR0-X0.19
1012;=PE+CH.FR0-X0.19;=PE+CH.FR0-X0.18
1013;=PE+CH.FR0-X0.2;=PE+CH.FR0-X0.1
1014;=PE+CH.FR0-X0.20;=PE+CH.DO06.2-X1
1015;=PE+CH.FR0-X0.21;=PE+CH.FR0-X0.22
1016;=PE+CH.FR0-X0.22;=PE+CH.FR0-X0.21
1017;=PE+CH.FR0-X0.23;=PE+CH.FR0-X0.24
1018;=PE+CH.FR0-X0.24;=PE+CH.FR0-X0.23
1019;=PE+CH.FR0-X0.25;=PE+CH.DO07-X1
1020;=PE+CH.FR0-X0.26;=PE+CH.RP12-X3
1021;=PE+CH.FR0-X0.27;=PE+CH.DO08-X1
1022;=PE+CH.FR0-X0.3;=PE+CH.DO01-X1
1023;=PE+CH.FR0-X0.30;=PE+CH.DO09-X1
1024;=PE+CH.FR0-X0.31;=PE+CH.RP10-X2
1025;=PE+CH.FR0-X0.32;=PE+CH.RP11-X1
1026;=PE+CH.FR0-X0.33;=PE+CH.RP10-PE_7
1027;=PE+CH.FR0-X0.34;=PE+CH.DO10-X1
1028;=PE+CH.FR0-X0.35;=PE+CH.FR0-X0.36
1029;=PE+CH.FR0-X0.36;=PE+CH.FR0-X0.35
1030;=PE+CH.FR0-X0.37;=PE+CH.DO34.1-X1
1031;=PE+CH.FR0-X0.38;=PE+CH.DO34.2-X1
1032;=PE+CH.FR0-X0.39;=PE+CH.DO35.1-X1
1033;=PE+CH.FR0-X0.4;=PE+CH.DO02-X1
1034;=PE+CH.FR0-X0.40;=PE+CH.DO35.2-X1
1035;=PE+CH.FR0-X0.41;=PE+SFR.PA0-X0.6
1036;=PE+CH.FR0-X0.42;=PE+SFR.PA0-X0.15
1037;=PE+CH.FR0-X0.7;=PE+CH.DO03-X1
1038;=PE+CH.FR0-X0.8;=PE+CH.DO04-X1
1039;=PE+CH.FR0-X0.9;=PE+CH.DO32.1-X1
1040;=PE+CH.FR1-X1.1;=PE+CH.DO24-X1
1041;=PE+CH.FR1-X1.10;=PE+CH.DO26-X1
1042;=PE+CH.FR1-X1.13;=PE+CH.DO27-X1
1043;=PE+CH.FR1-X1.14;=PE+CH.FR1-X1.15
1044;=PE+CH.FR1-X1.15;=PE+CH.FR1-X1.14
1045;=PE+CH.FR1-X1.16;=PE+CH.DO28-X1
1046;=PE+CH.FR1-X1.17;=PE+CH.DO26.1-X1
1047;=PE+CH.FR1-X1.18;=PE+CH.DO29-X1
1048;=PE+CH.FR1-X1.2;=PE+CH.FR1-X1.3
1049;=PE+CH.FR1-X1.21;=PE+CH.DO30-X1
1050;=PE+CH.FR1-X1.22;=PE+CH.RP01-X3
1051;=PE+CH.FR1-X1.23;=PE+CH.RP02-X2
1052;=PE+CH.FR1-X1.24;=PE+CH.DO31-X1
1053;=PE+CH.FR1-X1.25;=PE+CH.RP03-X4
1054;=PE+CH.FR1-X1.26;=PE+CH.FR1-X1.27
1055;=PE+CH.FR1-X1.27;=PE+CH.FR1-X1.26
1056;=PE+CH.FR1-X1.28;=PE+CH.DO29.1-X1
1057;=PE+CH.FR1-X1.29;=PE+CH.FR1-X1.30
1058;=PE+CH.FR1-X1.3;=PE+CH.FR1-X1.2
1059;=PE+CH.FR1-X1.30;=PE+CH.FR1-X1.29
1060;=PE+CH.FR1-X1.31;=PE+SFR.PA1-X1.2
1061;=PE+CH.FR1-X1.4;
1062;=PE+CH.FR1-X1.5;=PE+IF.DLBB-X5
1063;=PE+CH.FR1-X1.6;
1064;=PE+CH.FR1-X1.7;=PE+CH.DO25-X1
1065;=PE+CH.FR1-X1.8;=PE+SFR.PA1-X1.12
1066;=PE+CH.FR1-X1.9;=PE+CH.A1-X1
1067;=PE+CH.FR2-X2.1;=PE+CH.RP04-X1
1068;=PE+CH.FR2-X2.10;=PE+CH.DO12-X1
1069;=PE+CH.FR2-X2.13;=PE+CH.DO13-X1
1070;=PE+CH.FR2-X2.14;=PE+CH.DO13.1-X1
1071;=PE+CH.FR2-X2.15;=PE+CH.DO14-X1
1072;=PE+CH.FR2-X2.16;=PE+CH.FR2-X2.17
1073;=PE+CH.FR2-X2.17;=PE+CH.FR2-X2.16
1074;=PE+CH.FR2-X2.18;=PE+CH.DO15-X1
1075;=PE+CH.FR2-X2.2;=PE+CH.RP05-X1
1076;=PE+CH.FR2-X2.21;=PE+CH.DO16-X1
1077;=PE+CH.FR2-X2.22;=PE+CH.DO16.1-X1
1078;=PE+CH.FR2-X2.23;=PE+CH.DO17-X1
1079;=PE+CH.FR2-X2.24;=PE+CH.FR2-X2.25
1080;=PE+CH.FR2-X2.25;=PE+CH.FR2-X2.24
1081;=PE+CH.FR2-X2.26;=PE+CH.FR2-X2.27
1082;=PE+CH.FR2-X2.27;=PE+CH.FR2-X2.26
1083;=PE+CH.FR2-X2.28;=PE+CH.DO18-X1
1084;=PE+CH.FR2-X2.29;=PE+CH.L-X1
1085;=PE+CH.FR2-X2.3;=PE+CH.RP06-X1
1086;=PE+CH.FR2-X2.30;=PE+CH.L-X2
1087;=PE+CH.FR2-X2.31;=PE+SFR.PA2-X2.12
1088;=PE+CH.FR2-X2.32;=PE+CH.FR2-X2.33
1089;=PE+CH.FR2-X2.33;=PE+CH.FR2-X2.32
1090;=PE+CH.FR2-X2.34;=PE+SFR.PA2-X2.2
1091;=PE+CH.FR2-X2.4;=PE+CH.FR2-X2.5
1092;=PE+CH.FR2-X2.5;=PE+CH.FR2-X2.4
1093;=PE+CH.FR2-X2.6;=PE+CH.DO11-X1
1094;=PE+CH.FR2-X2.7;=PE+CH.RP07-X4
1095;=PE+CH.FR2-X2.8;=PE+CH.RP08-X1
1096;=PE+CH.FR2-X2.9;=PE+CH.RP09-X4
1097;=PE+CH.FR3-X3.1;=PE+CH.DO19-X1
1098;=PE+CH.FR3-X3.14;=PE+CH.FR3-X3.15
1099;=PE+CH.FR3-X3.15;=PE+CH.FR3-X3.14
1100;=PE+CH.FR3-X3.16;=PE+CH.FR3-X3.17
1101;=PE+CH.FR3-X3.17;=PE+CH.FR3-X3.16
1102;=PE+CH.FR3-X3.18;=PE+CH.FR3-X3.19
1103;=PE+CH.FR3-X3.19;=PE+CH.FR3-X3.18
1104;=PE+CH.FR3-X3.2;=PE+CH.DO20-X1
1105;=PE+CH.FR3-X3.20;=PE+CH.FR3-X3.21
1106;=PE+CH.FR3-X3.21;=PE+CH.FR3-X3.20
1107;=PE+CH.FR3-X3.22;=PE+CH.FR3-X3.23
1108;=PE+CH.FR3-X3.23;=PE+CH.FR3-X3.22
1109;=PE+CH.FR3-X3.24;=PE+CH.FR3-X3.25
1110;=PE+CH.FR3-X3.25;=PE+CH.FR3-X3.24
1111;=PE+CH.FR3-X3.3;=PE+CH.DO21-X1
1112;=PE+CH.FR3-X3.4;=PE+CH.DO22-X1
1113;=PE+CH.FR3-X3.5;=PE+CH.DO23-X1
1114;=PE+CH.RP01-X1;=PE+CH.B-X1
1115;=PE+CH.RP01-X2;=PE+CH.C-X1
1116;=PE+CH.RP01-X3;=PE+CH.FR1-X1.22
1117;=PE+CH.RP02-X1;=PE+CH.A-X1
1118;=PE+CH.RP02-X2;=PE+CH.FR1-X1.23
1119;=PE+CH.RP03-X1;=PE+CH.D-X1
1120;=PE+CH.RP03-X4;=PE+CH.FR1-X1.25
1121;=PE+CH.RP04-X1;=PE+CH.FR2-X2.1
1122;=PE+CH.RP05-X1;=PE+CH.FR2-X2.2
1123;=PE+CH.RP06-X1;=PE+CH.FR2-X2.3
1124;=PE+CH.RP06-X2;=PE+CH.RP06-X3
1125;=PE+CH.RP06-X3;=PE+CH.RP06-X2
1126;=PE+CH.RP07-X1;=PE+CH.G-X1
1127;=PE+CH.RP07-X2;=PE+CH.H-X1
1128;=PE+CH.RP07-X3;=PE+CH.M-X1
1129;=PE+CH.RP07-X4;=PE+CH.FR2-X2.7
1130;=PE+CH.RP08-X1;=PE+CH.FR2-X2.8
1131;=PE+CH.RP09-X1;=PE+CH.I-X1
1132;=PE+CH.RP09-X2;=PE+CH.J-X1
1133;=PE+CH.RP09-X3;=PE+CH.K-X1
1134;=PE+CH.RP09-X4;=PE+CH.FR2-X2.9
1135;=PE+CH.RP10-PE_1;=PE+CH.D1-X2
1136;=PE+CH.RP10-PE_2;=PE+CH.E-A4
1137;=PE+CH.RP10-PE_3;=PE+CH.A-A4
1138;=PE+CH.RP10-PE_4;=PE+CH.B-A4
1139;=PE+CH.RP10-PE_5;=PE+CH.I-A4
1140;=PE+CH.RP10-PE_6;=PE+BTS.FR-X1
1141;=PE+CH.RP10-PE_7;=PE+CH.FR0-X0.33
1142;=PE+CH.RP10-X1;=PE+CH.D1-X1
1143;=PE+CH.RP10-X2;=PE+CH.FR0-X0.31
1144;=PE+CH.RP10-X3;=PE+CH.RP10-X4
1145;=PE+CH.RP10-X4;=PE+CH.RP10-X3
1146;=PE+CH.RP11-X1;=PE+CH.FR0-X0.32
1147;=PE+CH.RP12-X1;=PE+CH.E-X1
1148;=PE+CH.RP12-X2;=PE+CH.F-X1
1149;=PE+CH.RP12-X3;=PE+CH.FR0-X0.26
1150;=PE+SFR.PA0-X0.1;=PE+CH.E-X3
1151;=PE+SFR.PA0-X0.14;=PE+CH.FR0-X0.13
1152;=PE+SFR.PA0-X0.2;=PE+SFR.PA0-X0.3
1153;=PE+SFR.PA0-X0.3;=PE+SFR.PA0-X0.2
1154;=PE+SFR.PA0-X0.4;=PE+SFR.PA0-X0.5
1155;=PE+SFR.PA0-X0.5;=PE+SFR.PA0-X0.4
1156;=PE+SFR.PA1-X1.1;=PE+CH.B-X2
1157;=PE+SFR.PA1-X1.12;=PE+CH.FR1-X1.8
1158;=PE+SFR.PA1-X1.3;=PE+SFR.PA1-X1.4
1159;=PE+SFR.PA1-X1.4;=PE+SFR.PA1-X1.3
1160;=PE+SFR.PA2-X2.1;=PE+CH.I-X2
1161;=PE+SFR.PA2-X2.12;=PE+CH.FR2-X2.31
1162;=PE+SFR.PA2-X2.3;=PE+SFR.PA2-X2.4
1163;=PE+SFR.PA2-X2.4;=PE+SFR.PA2-X2.3
1164;=PE+SFR.PA3-X3.1;=PE+SFR.PA3-X3.2
1165;=PE+SFR.PA3-X3.2;=PE+SFR.PA3-X3.1
1166;=PE+SFR.PA3-X3.3;=PE+SFR.PA3-X3.4
1167;=PE+SFR.PA3-X3.4;=PE+SFR.PA3-X3.3
1168;=CT+IF.DLBB-X3;=SY+CH.A1-X24
1169;=CT+IF.DLBB-X4;=CT+CH.A-X5
1170;=CT+IF.DLBB-X6;=CT+CH.B-X5
1171;=EP.CT+IF.DLBB-X1;=EP.CT+CH.A-X2
1172;=EP.CT+IF.DLBB-X2;=EP.CT+CH.A-X3
1173;=PE+IF.DLBB-X5;=PE+CH.FR1-X1.5
1174;=CT+HPDLMC-IF6.X1;=TSNI+CH.K-X10
1175;=CT+HPDLMC-IF6.X10;=PA0+30-X101
1176;=CT+HPDLMC-IF6.X11;=PA1+30-X101
1177;=CT+HPDLMC-IF6.X12;=PA2+30-X103
1178;=CT+HPDLMC-IF6.X13;=PA3+30-X103
1179;=CT+HPDLMC-IF6.X14;=CT+TRUC-IF1.X9
1180;=CT+HPDLMC-IF6.X15;=EP+HTCP-X100:A
1181;=CT+HPDLMC-IF6.X16;=CT+CH.B-X3
1182;=CT+HPDLMC-IF6.X17;=CT+CH.B-X4
1183;=CT+HPDLMC-IF6.X18;=CT+CH.E-X11
1184;=CT+HPDLMC-IF6.X2;=CT+TRUC-IF1.X3
1185;=CT+HPDLMC-IF6.X3;=SLRC-C3
1186;=CT+HPDLMC-IF6.X4;=CT+TRUC-IF1.X5
1187;=CT+HPDLMC-IF6.X5;=CT+CH.E-X2
1188;=CT+HPDLMC-IF7.X1;=BSFR+SUB RACK-A7
1189;=CT+HPDLMC-IF7.X2;=PA0+60-X1
1190;=CT+HPDLMC-IF7.X3;=PA1+60-X1
1191;=CT+HPDLMC-IF7.X4;=PA2+60-X1
1192;=CT+HPDLMC-IF7.X5;=PA3+60-X1
1193;=CT+HPDLMC-IF7.X6;=TSNI+CH.K-X20
1194;=EF+HPDLMC-IF3.X9;=EP+CH.E-X7
1195;=EP.CT+HPDLMC-IF1.X1;=EP+HTCP-X230
1196;=EP.CT+HPDLMC-IF1.X10;=ASP+CH.E-X1
1197;=EP.CT+HPDLMC-IF1.X2;=SLRC-A3
1198;=EP.CT+HPDLMC-IF1.X4;=IF+SLEC-D1
1199;=EP.CT+HPDLMC-IF1.X8;=SLRC-A1
1200;=EP.CT+HPDLMC-IF1.X9;=SLRC-A2
1201;=EP.CT+HPDLMC-IF2.X1;=ASML+CH.WLSU-B8
1202;=EP.CT+HPDLMC-IF4.X5;=EP.CT+CH.B-X2
1203;=EP.CT+HPDLMC-IF4.X6;=EP.CT+PBT.EP6-X2
1204;=EP.EC+HPDLMC-IF1.X3;=ASP+CH.K-X1
1205;=EP.SL+HPDLMC-IF1.X6;=IF+SLEC-D3
1206;=EP.WT+HPDLMC-IF1.X5;=EP.CO+CU.HxCu-1X1
1207;=EP.WT+HPDLMC-IF1.X7;=EP.CO+CU.HxAL-1X1
1208;=EP.WT+HPDLMC-IF3.X7;=EP.CO+CU.HxAL-3X1
1209;=EP.WT+HPDLMC-IF3.X8;=EP.CO+CU.HxCu-3X1
1210;=EP+HPDLMC-IF5.X1;=PE+CH.E-X2
1211;=EP+HPDLMC-IF5.X2;=PE+CU.HxAL-GND
1212;=EP+HPDLMC-IF5.X3;=PE+CU.HxCu-GND
1213;=EP+HPDLMC-IF5.X4;=SLRC-PE1
1214;=EP+HPDLMC-IF5.X5;=PE+CH.D1-X2
1215;=EP+HPDLMC-IF5.X6;=TSBR+CH.E-X610
1216;=SY.EMO+HPDLMC-IF3.X1;=PA0+22-X3
1217;=SY.EMO+HPDLMC-IF3.X2;=PA1+22-X2
1218;=SY.EMO+HPDLMC-IF3.X3;=PA2+22-X3
1219;=SY.EMO+HPDLMC-IF3.X4;=PA3+22-X2
1220;=SY.EMO+HPDLMC-IF3.X5;=SY.EMO+TRUC-IF1.X1
1221;=SY.EMO+HPDLMC-IF6.X7;=SY.EMO+TRUC-IF1.X7
1222;=SY.EMO+HPDLMC-IF6.X8;=CT+CH.H-X1
1223;=CT+HPDLMC-IF6.X6;=SLRC-A4
1224;=SY.EMO+HPDLMC-IF4.X4;=SLRC-A4
1225;=SY.EMO+HPDLMC-IF6.X9;=SLRC-A4
1226;=EP.CT+HPDLMC-IF3.X6;=EP.CT+CH.A-X2
1227;=EP.CT+HPDLMC-IF3.X6;=EP.CT+CH.A-X3
1228;=EP.CT+HPDLMC-IF4.X3;=EP.CT+CH.H-X2
1229;=EP.CT+HPDLMC-IF4.X3;=EP.CT+CH.H-X3
1230;=EP.CT+HPDLMC-IF4.X3;=EP.CT+CH.H-X4
1231;=EP.CT+HPDLMC-IF4.X3;=EP+CH.H-X5
1232;=EP.CT+HPDLMC-IF4.X2;=EP.CT+CH.E-X1
1233;=EP.CT+HPDLMC-IF4.X2;=EP.CT+CH.E-X5
1234;=EP.CT+HPDLMC-IF4.X2;=EP+CH.E-X3
1235;=EP.CT+HPDLMC-IF4.X2;=EP+CH.E-X6
1236;=EP.CT+HPDLMC-IF4.X1;=EP.CT+CH.D-X1
1237;=EP.CT+HPDLMC-IF4.X1;=EP.CT+CH.D-X2
1238;=EP.CT+HPDLMC-IF4.X1;=EP.CT+CH.D-X3
1239;=CT+CU.HxAL-4X1;=CT+CU.HxCu-4X2
1240;=CT+CU.HxAL-5X1;=CT+CU.HxCu-5X2
1241;=EP.CO+CU.HxAL-1X1;=EP.WT+HPDLMC-IF1.X7
1242;=EP.CO+CU.HxAL-3X1;=EP.WT+HPDLMC-IF3.X7
1243;=PE+CU.HxAL-GND;=EP+HPDLMC-IF5.X2
1244;=CT+CU.HxCu-4X1;=PA3+22-X2
1245;=CT+CU.HxCu-4X2;=CT+CU.HxAL-4X1
1246;=CT+CU.HxCu-5X1;=PA3+30-X71
1247;=CT+CU.HxCu-5X2;=CT+CU.HxAL-5X1
1248;=EP.CO+CU.HxCu-1X1;=EP.WT+HPDLMC-IF1.X5
1249;=EP.CO+CU.HxCu-3X1;=EP.WT+HPDLMC-IF3.X8
1250;=PE+CU.HxCu-GND;=EP+HPDLMC-IF5.X3
1251;=CO+CH.PA0-X1;=CT+CH.EP2-K2:OUT0/OUT1
1252;=PA0+19-MB1;=CH01+CH.F-X1
1253;=PA0+19-MB10;=CH01+CH.F-X10
1254;=PA0+19-MB11;=CH01+CH.F-X11
1255;=PA0+19-MB12;=CH01+CH.F-X12
