ID;E;H
162;=CH11+CH.C-X10;=PA1+19-MB10
163;=CH11+CH.C-X11;=PA1+RF11-X111
164;=CH11+CH.C-X11;=PA1+19-MB11
165;=CH11+CH.C-X12;=PA1+RF11-X112
166;=CH11+CH.C-X12;=PA1+19-MB12
167;=CH11+CH.C-X13;=PA1+RF11-X113
168;=CH11+CH.C-X13;=PA1+19-MB13
169;=CH11+CH.C-X14;=PA1+RF11-X114
170;=CH11+CH.C-X14;=PA1+19-MB14
171;=CH11+CH.C-X15;=PA1+RF11-X115
172;=CH11+CH.C-X15;=PA1+19-MB15
173;=CH11+CH.C-X16;=PA1+RF11-X116
174;=CH11+CH.C-X16;=PA1+19-MB16
175;=CH11+CH.C-X2;=PA1+19-MB2
176;=CH11+CH.C-X4;=PA1+19-MB4
177;=CH11+CH.C-X5;=PA1+19-MB5
178;=CH11+CH.C-X6;=PA1+19-MB6
179;=CH11+CH.C-X7;=PA1+19-MB7
180;=CH11+CH.C-X8;=PA1+19-MB8
181;=CH11+CH.C-X9;=PA1+19-MB9
182;=PE+CH.C-X1;=PE+CH.RP01-X2
183;=PE+CH.C-X2;=PE+CH.C-X3
184;=PE+CH.C-X3;=PE+CH.C-X2
185;=SY+CH.C-LT2;=SY+CH.C-X2
186;=SY+CH.C-X1;=CT+CH.EP1-K12:IN0/IN1
187;=SY+CH.C-X2;=SY+CH.C-LT2
188;=SY+CH.C-X2;=SY+CH.A1-X6
189;=CT.IF+CH.D1-X1;=LF.PM+BG.PA0-T200:X1
190;=CT.IF+CH.D1-X2;=LF.PM+BG.PA3-T206:X1
191;=CT.IF+CH.D1-X3;=LF.PM+BG.PA3-T208:X1
192;=CT.IF+CH.D1-X4;=LF.PM+BG.PA1-T202:X1
193;=PE+CH.D1-X1;=PE+CH.RP10-X1
194;=PE+CH.D1-X2;=EP+HPDLMC-IF5.X5
195;=PE+CH.D1-X2;=PE+CH.RP10-PE_1
196;=CT.IF+CH.D1-X1;=SLRC-D4
197;=CT.IF+CH.D1-X2;=SLRC-D4
198;=CT.IF+CH.D1-X3;=SLRC-D4
199;=CT.IF+CH.D1-X4;=SLRC-D4
200;=EP.CT+CH.D-X1;=CT+CH.EP3-T1:24V_IN
201;=EP.CT+CH.D-X2;=CT+CH.EP3.7-T1:24V/DC_IN
202;=EP.CT+CH.D-X3;=CT+CH.EP3.5-T1:24V_IN
203;=PA3+19-X19.2;=PA3+19-X19.1
204;=PA3+19-X19.2;=PA3+19-Z1:X1
205;=PE+CH.D-X1;=PE+CH.RP03-X1
206;=PE+CH.D-X2;=PA3+1-XPE1
207;=PE+CH.D-X2;=PE+BTS.FR-X2
208;=EP.CT+CH.D-X1;=EP.CT+HPDLMC-IF4.X1
209;=EP.CT+CH.D-X2;=EP.CT+HPDLMC-IF4.X1
210;=EP.CT+CH.D-X3;=EP.CT+HPDLMC-IF4.X1
211;=CT+CH.E-X2;=IF+SLEC-F1
212;=CT+CH.E-X2;=CT+HPDLMC-IF6.X5
213;=CT+CH.E-X4;=IF+SLEC-F3
214;=CT+CH.E-X11;=CT+HPDLMC-IF6.X18
215;=CT+CH.E-X11;=CT+CH.EP10-T1:Data_IN
216;=EP.CT+CH.E-X1;=CT+CH.EP1-T1:24V/DC_IN
217;=EP.CT+CH.E-X5;=CT+CH.EP10-T1:24V_IN
218;=EP.CT+HPDLMC-IF1.X4;=IF+SLEC-D1
219;=EP.SL+HPDLMC-IF1.X6;=IF+SLEC-D3
220;=EP+CH.E-X3;=CT+CH.EP1-K13:24V/DC_IN
221;=EP+CH.E-X6;=CT+CH.EP10-K3:24V_IN
222;=EP+CH.E-X7;=CT.PN+CH.DO35-A21:X1
223;=EP+CH.E-X7;=EF+HPDLMC-IF3.X9
224;=IF.PM+CH.E-X8;=EP.EC+CH.DO32-A3:X1
225;=IF.PM+CH.E-X9;=EP.EC+CH.DO32-A3:X4
226;=IF+CH.E-X10;=IF+SLEC-B1
227;=IF+CH.E-X10;=SLRC-F2
228;=PA0+19-X19.2;=PA0+19-X19.1
229;=PA0+19-X19.2;=PA0+19-Z1:X1
230;=PE+CH.E-A4;=PE+CH.RP10-PE_2
231;=PE+CH.E-X1;=PE+CH.RP12-X1
232;=PE+CH.E-X2;=IF+SLEC-PE1
233;=PE+CH.E-X2;=EP+HPDLMC-IF5.X1
234;=PE+CH.E-X3;=PA0+1-XPE1
235;=PE+CH.E-X3;=PE+SFR.PA0-X0.1
236;=CT+CH.E-X4;=SLRC-D6
237;=IF.PM+CH.E-X8;=SLRC-D6
238;=IF.PM+CH.E-X9;=SLRC-D6
239;=EP.CT+CH.E-X1;=EP.CT+HPDLMC-IF4.X2
240;=EP.CT+CH.E-X5;=EP.CT+HPDLMC-IF4.X2
241;=EP+CH.E-X3;=EP.CT+HPDLMC-IF4.X2
242;=EP+CH.E-X6;=EP.CT+HPDLMC-IF4.X2
243;=CH01+CH.F-X01;=PA0+RF01-X101
244;=CH01+CH.F-X02;=PA0+RF01-X102
245;=CH01+CH.F-X03;=PA0+RF01-X103
246;=CH01+CH.F-X04;=PA0+RF01-X104
247;=CH01+CH.F-X05;=PA0+RF01-X105
248;=CH01+CH.F-X06;=PA0+RF01-X106
249;=CH01+CH.F-X07;=PA0+RF01-X107
250;=CH01+CH.F-X08;=PA0+RF01-X108
251;=CH01+CH.F-X09;=PA0+RF01-X109
252;=CH01+CH.F-X1;=PA0+19-MB1
253;=CH01+CH.F-X10;=PA0+RF01-X110
254;=CH01+CH.F-X10;=PA0+19-MB10
255;=CH01+CH.F-X11;=PA0+RF01-X111
256;=CH01+CH.F-X11;=PA0+19-MB11
257;=CH01+CH.F-X12;=PA0+RF01-X112
258;=CH01+CH.F-X12;=PA0+19-MB12
259;=CH01+CH.F-X13;=PA0+RF01-X113
260;=CH01+CH.F-X13;=PA0+19-MB13
261;=CH01+CH.F-X14;=PA0+RF01-X114
262;=CH01+CH.F-X14;=PA0+19-MB14
263;=CH01+CH.F-X15;=PA0+RF01-X115
264;=CH01+CH.F-X15;=PA0+19-MB15
265;=CH01+CH.F-X16;=PA0+RF01-X116
266;=CH01+CH.F-X16;=PA0+19-MB16
267;=CH01+CH.F-X2;=PA0+19-MB2
268;=CH01+CH.F-X3;=PA0+19-MB3
269;=CH01+CH.F-X4;=PA0+19-MB4
270;=CH01+CH.F-X5;=PA0+19-MB5
271;=CH01+CH.F-X6;=PA0+19-MB6
272;=CH01+CH.F-X7;=PA0+19-MB7
273;=CH01+CH.F-X8;=PA0+19-MB8
274;=CH01+CH.F-X9;=PA0+19-MB9
275;=PE+CH.F-X1;=PE+CH.RP12-X2
276;=PE+CH.F-X2;=PE+CH.F-X3
277;=PE+CH.F-X3;=PE+CH.F-X2
278;=SY+CH.F-LT3;=SY+CH.F-X2
279;=SY+CH.F-X1;=CT+CH.EP1-K4:IN6/IN7
280;=SY+CH.F-X2;=SY+CH.F-LT3
281;=SY+CH.F-X2;=SY+CH.A1-X7
282;+RF31-X101;+PA3-MB1
283;+RF31-X102;+PA3-MB2
284;+RF32-X101;+PA3-MB3
285;+RF32-X102;+PA3-MB4
286;=PE+CH.G-X1;=PE+CH.RP07-X1
287;=RF+CB-Q1:X3;=RF+LR-Q1:X3
288;=CT+CH.H-X1;=SY.EMO+HPDLMC-IF6.X8
289;=CT+CH.H-X1;=SY.EMO+CH.EP2.1-T1:Data_IN
290;=EP.CT+CH.H-X2;=SY.EMO+CH.EP2.1-T1:24V_IN
291;=EP.CT+CH.H-X3;=CT+CH.EP2.5-T1:24V_IN
292;=EP.CT+CH.H-X4;=CT+CH.EP2-T1:24V_IN
293;=EP+CH.H-X5;=CT+CH.EP2-K10
294;=PE+CH.H-X1;=PE+CH.RP07-X2
295;=EP.CT+CH.H-X2;=EP.CT+HPDLMC-IF4.X3
296;=EP.CT+CH.H-X3;=EP.CT+HPDLMC-IF4.X3
297;=EP.CT+CH.H-X4;=EP.CT+HPDLMC-IF4.X3
298;=EP+CH.H-X5;=EP.CT+HPDLMC-IF4.X3
299;=EP+CH.I-X1;=PA3+19-X5
300;=EP+CH.I-X1;=PA3+19-X5.2
301;=PA2+19-X19.2;=PA2+19-X19.1
302;=PA2+19-X19.2;=PA2+19-Z1:X1
303;=PA3+19-X1;=PA3+5-X1
304;=PE+CH.I-A4;=PE+CH.RP10-PE_5
305;=PE+CH.I-X1;=PE+CH.RP09-X1
306;=PE+CH.I-X2;=PA2+1-XPE1
307;=PE+CH.I-X2;=PE+SFR.PA2-X2.1
308;+RF21-X101;+PA2-MB1
309;+RF21-X102;+PA2-MB2
310;+RF22-X101;+PA2-MB3
311;+RF22-X102;+PA2-MB4
312;=PE+CH.J-X1;=PE+CH.RP09-X2
313;=CT.IF+CH.K-X4;=LF.PM+BG.PA2-T204:X1
314;=CT+CH.K-X3;=MD+TRUC-IF1.X10
315;=CT+CH.K-X3;=IF.M2+ST.IF2-X44
316;=EP+CH.K-X1;=PA2+19-X5
317;=EP+CH.K-X1;=PA2+19-X5.2
318;=IF.PM+CH.K-X5;=LF.PM+CH.PA2-X2
319;=IF.PM+CH.K-X6;=LF.PM+CH.PA3-X3
320;=IF+CH.K-X7;=SLRC-F1
321;=MD+CH.K-X2;=MD+TRUC-IF1.X2
322;=MD+CH.K-X2;=IF.M2+ST.IF2-X43
323;=PA2+19-X1;=PA2+5-X1
324;=PE+CH.K-X1;=PE+CH.RP09-X3
325;=CT.IF+CH.K-X4;=SLRC-D5
326;=IF.PM+CH.K-X5;=SLRC-D5
327;=IF.PM+CH.K-X6;=SLRC-D5
328;=IF+CH.K-X7;=IF.M1C+ST.IF2-X33
329;=IF+CH.K-X7;=IF.M1F+ST.IF2-X39
330;=IF.M1C+CH.L-X45;=IF.M1C+ST.IF2-X45
331;=IF.M1C+CH.L-X46;=IF.M1C+ST.IF2-X46
332;=IF.M1F+CH.L-X57;=IF.M1F+ST.IF2-X57
333;=IF.M1F+CH.L-X60;=IF.M1F+ST.IF2-X60
334;=IF.M3+CH.L-X69;=IF.M3+ST.IF2-X69
335;=IF.M3+CH.L-X70;=IF.M3+ST.IF2-X70
